invoice_number,invoice_date,customer_id,product_id,quantity,unit_price,line_price,country
489434,2009-12-01,13085,85048,12,6.95,83.4,united kingdom
489434,2009-12-01,13085,79323P,12,6.75,81.0,united kingdom
489434,2009-12-01,13085,79323W,12,6.75,81.0,united kingdom
489434,2009-12-01,13085,22041,48,2.1,100.80000000000001,united kingdom
489434,2009-12-01,13085,21232,24,1.25,30.0,united kingdom
489434,2009-12-01,13085,22064,24,1.65,39.599999999999994,united kingdom
489434,2009-12-01,13085,21871,24,1.25,30.0,united kingdom
489434,2009-12-01,13085,21523,10,5.95,59.5,united kingdom
489435,2009-12-01,13085,22350,12,2.55,30.599999999999998,united kingdom
489435,2009-12-01,13085,22349,12,3.75,45.0,united kingdom
489435,2009-12-01,13085,22195,24,1.65,39.599999999999994,united kingdom
489435,2009-12-01,13085,22353,12,2.55,30.599999999999998,united kingdom
489436,2009-12-01,13078,48173C,10,5.95,59.5,united kingdom
489436,2009-12-01,13078,21755,18,5.45,98.10000000000001,united kingdom
489436,2009-12-01,13078,21754,3,5.95,17.85,united kingdom
489436,2009-12-01,13078,84879,16,1.69,27.04,united kingdom
489436,2009-12-01,13078,22119,3,6.95,20.85,united kingdom
489436,2009-12-01,13078,22142,12,1.45,17.4,united kingdom
489436,2009-12-01,13078,22296,12,1.65,19.799999999999997,united kingdom
489436,2009-12-01,13078,22295,12,1.65,19.799999999999997,united kingdom
489436,2009-12-01,13078,22109,16,3.39,54.24,united kingdom
489436,2009-12-01,13078,22107,4,3.75,15.0,united kingdom
489436,2009-12-01,13078,22194,2,8.5,17.0,united kingdom
489436,2009-12-01,13078,35004B,12,4.65,55.800000000000004,united kingdom
489436,2009-12-01,13078,82582,12,2.1,25.200000000000003,united kingdom
489436,2009-12-01,13078,21181,12,2.1,25.200000000000003,united kingdom
489436,2009-12-01,13078,21756,3,5.95,17.85,united kingdom
489436,2009-12-01,13078,21333,6,2.95,17.700000000000003,united kingdom
489436,2009-12-01,13078,84596F,8,1.25,10.0,united kingdom
489436,2009-12-01,13078,84596L,8,1.25,10.0,united kingdom
489436,2009-12-01,13078,22111,24,4.25,102.0,united kingdom
489437,2009-12-01,15362,22143,6,2.1,12.600000000000001,united kingdom
489437,2009-12-01,15362,22145,6,2.1,12.600000000000001,united kingdom
489437,2009-12-01,15362,22130,12,0.85,10.2,united kingdom
489437,2009-12-01,15362,21364,2,6.75,13.5,united kingdom
489437,2009-12-01,15362,21360,1,9.95,9.95,united kingdom
489437,2009-12-01,15362,21351,2,6.75,13.5,united kingdom
489437,2009-12-01,15362,21352,2,6.75,13.5,united kingdom
489437,2009-12-01,15362,35400,2,8.95,17.9,united kingdom
489437,2009-12-01,15362,20695,3,4.25,12.75,united kingdom
489437,2009-12-01,15362,37370,12,1.25,15.0,united kingdom
489437,2009-12-01,15362,10002,12,0.85,10.2,united kingdom
489437,2009-12-01,15362,84507B,6,2.55,15.299999999999999,united kingdom
489437,2009-12-01,15362,20703,3,4.25,12.75,united kingdom
489437,2009-12-01,15362,21987,12,0.65,7.800000000000001,united kingdom
489437,2009-12-01,15362,21989,12,0.85,10.2,united kingdom
489437,2009-12-01,15362,84970S,12,0.85,10.2,united kingdom
489437,2009-12-01,15362,20971,12,1.25,15.0,united kingdom
489437,2009-12-01,15362,22271,6,2.95,17.700000000000003,united kingdom
489437,2009-12-01,15362,22272,6,2.95,17.700000000000003,united kingdom
489437,2009-12-01,15362,22274,6,2.95,17.700000000000003,united kingdom
489437,2009-12-01,15362,21912,4,3.75,15.0,united kingdom
489437,2009-12-01,15362,22111,3,4.95,14.850000000000001,united kingdom
489437,2009-12-01,15362,22112,3,4.95,14.850000000000001,united kingdom
489438,2009-12-01,18102,21329,28,0.98,27.439999999999998,united kingdom
489438,2009-12-01,18102,21252,30,1.69,50.699999999999996,united kingdom
489438,2009-12-01,18102,21100,30,1.15,34.5,united kingdom
489438,2009-12-01,18102,21033,30,2.0,60.0,united kingdom
489438,2009-12-01,18102,20711,60,1.3,78.0,united kingdom
489438,2009-12-01,18102,21410,32,2.5,80.0,united kingdom
489438,2009-12-01,18102,21411,32,2.5,80.0,united kingdom
489438,2009-12-01,18102,84031A,56,3.0,168.0,united kingdom
489438,2009-12-01,18102,84031B,56,3.0,168.0,united kingdom
489438,2009-12-01,18102,84032A,60,1.9,114.0,united kingdom
489438,2009-12-01,18102,84032B,56,1.9,106.39999999999999,united kingdom
489438,2009-12-01,18102,84519A,56,2.15,120.39999999999999,united kingdom
489438,2009-12-01,18102,84519B,60,2.4,144.0,united kingdom
489438,2009-12-01,18102,85132A,60,6.38,382.8,united kingdom
489438,2009-12-01,18102,85132C,60,6.4,384.0,united kingdom
489438,2009-12-01,18102,85183A,60,2.4,144.0,united kingdom
489438,2009-12-01,18102,85183B,60,2.4,144.0,united kingdom
489439,2009-12-01,12682,22065,12,1.45,17.4,france
489439,2009-12-01,12682,22138,9,4.95,44.550000000000004,france
489439,2009-12-01,12682,22139,9,4.95,44.550000000000004,france
489439,2009-12-01,12682,22352,12,2.55,30.599999999999998,france
489439,2009-12-01,12682,85014A,3,5.95,17.85,france
489439,2009-12-01,12682,85014B,3,5.95,17.85,france
489439,2009-12-01,12682,16161P,25,0.42,10.5,france
489439,2009-12-01,12682,16169N,25,0.42,10.5,france
489439,2009-12-01,12682,21491,6,1.95,11.7,france
489439,2009-12-01,12682,22333,8,1.65,13.2,france
489439,2009-12-01,12682,85216,12,0.65,7.800000000000001,france
489439,2009-12-01,12682,21493,12,0.85,10.2,france
489439,2009-12-01,12682,22130,24,0.85,20.4,france
489439,2009-12-01,12682,22064,12,1.65,19.799999999999997,france
489439,2009-12-01,12682,21731,24,1.65,39.599999999999994,france
489439,2009-12-01,12682,85232B,6,4.95,29.700000000000003,france
