product_id,description,category,unit_price
85048,15cm christmas glass ball 20 lights,lights,6.95
79323P,pink cherry lights,lights,6.75
79323W,white cherry lights,lights,6.75
22041,"record frame 7"" single size",frame,2.1
21232,strawberry ceramic trinket box,box,1.25
22064,pink doughnut trinket pot,pot,1.65
21871,save the planet mug,mug,1.25
21523,fancy font home sweet home doormat,door,5.95
22350,cat bowl,bowl,2.55
22349,"dog bowl , chasing ball design",bowl,3.75
22195,heart measuring spoons large,ring,1.65
22353,lunchbox with cutlery fairy-cakes,box,2.55
48173C,door mat black flock,door,5.95
21755,love building block word,b,5.45
21754,home building block word,home,5.95
84879,assorted colour bird ornament,bird,1.69
22119,peace wooden block letters,letter,6.95
22142,christmas craft white fairy,fairy,1.45
22296,heart ivory trellis large,art,1.65
22295,heart filigree dove large,art,1.65
22109,full english breakfast plate,plate,3.39
22107,pizza plate in box,box,3.75
22194,black diner wall clock,clock,8.5
35004B,set of 3 black flying ducks,b,4.65
82582,area patrolled metal sign,sign,2.1
21181,please one person  metal sign,sign,2.1
21756,bath building block word,b,5.95
21333,classic white frame,frame,2.95
84596F,small marshmallows pink bowl,bowl,1.25
84596L,biscuits small bowl light blue,bowl,1.25
22111,scottie dog hot-water-bottle,hot-water-bottle,4.25
22143,christmas craft heart decorations,decoration,2.1
22145,christmas craft heart stocking,art,2.1
22130,party cone christmas decoration,decoration,0.85
21364,peace small wood letters,letter,6.75
21360,joy large wood letters,letter,9.95
21351,cinammon & orange wreath,other,6.75
21352,eucalyptus & pinecone  wreath,other,6.75
35400,wooden box advent calendar,box,8.95
20695,floral blue monster,b,4.25
37370,retro coffee mugs assorted,mug,1.25
10002,inflatable political globe,table,0.85
84507B,stripes design monkey doll,sign,2.55
20703,blue padded soft mobile,soft,4.25
21987,pack of 6 skull paper cups,cup,0.65
21989,pack of 20 skull paper napkins,skull,0.85
84970S,hanging heart zinc t-light holder,t-light,0.85
20971,pink blue felt craft trinket box,box,1.25
22271,feltcraft doll rosie,feltcraft,2.95
22272,feltcraft doll maria,feltcraft,2.95
22274,feltcraft doll emily,feltcraft,2.95
21912,vintage snakes & ladders,tag,3.75
22112,chocolate hot-water-bottle,hot-water-bottle,4.95
21329,dinosaurs  writing set,tin,0.98
21252,set of meadow  flower stickers,flower,1.69
21100,charlie and lola charlotte bag,bag,1.15
21033,jumbo bag charlie and lola toys,bag,2.0
20711,jumbo bag toys,bag,1.3
21410,country cottage  doorstop green,door,2.5
21411,gingham heart  doorstop red,door,2.5
84031A,charlie+lola red hot-water-bottle,hot-water-bottle,3.0
84031B,charlie lola blue hot-water-bottle,hot-water-bottle,3.0
84032A,charlie+lola pink hot-water-bottle,hot-water-bottle,1.9
84032B,charlie + lola red hot-water-bottle,hot-water-bottle,1.9
84519A,tomato charlie+lola coaster set,mat,2.15
84519B,carrot charlie+lola coaster set,coaster,2.4
85132A,charlie + lola biscuits tins,tin,6.38
85132C,charlie and lola figures tins,tin,6.4
85183A,charlie & lola wastepaper bin blue,b,2.4
85183B,charlie & lola wastepaper bin flora,b,2.4
22065,christmas pudding trinket pot,pot,1.45
22138,baking set 9 piece retrospot,pot,4.95
22139,retro spot tea set ceramic 11 pc,tea,4.95
22352,lunchbox with cutlery retrospot,box,2.55
85014A,black/blue dots ruffled umbrella,umbrella,5.95
85014B,red/white dots ruffled umbrella,umbrella,5.95
16161P,wrap english rose,wrap,0.42
