total_qty_sold,product_id,description
9371,85123A,"white hanging heart t-light holder"
6101,21212,"pack of 72 retro spot cake cases"
5774,85099B,"jumbo bag red white spotty"
5672,84879,"assorted colour bird ornament"
5516,21980,"pack of 12 red spotty tissues"
5232,21967,"pack of 12 skull tissues"
4821,21981,"pack of 12 woodland tissues"
4650,21984,"pack of 12 pink paisley tissues"
4560,16014,"small chinese style scissor"
4370,21232,"strawberry ceramic trinket box"
3850,72756,"fairy-cake candles"
3810,84077,"world war 2 gliders asstd designs"
3414,84992,"72 sweetheart fairy-cake cases"
3122,15056BL,"edwardian parasol black"
3057,84991,"60 teatime fairy-cake cases"
3000,84270,"asstd design bubble gum ring"
2920,22086,"paper chain kit 50's christmas"
2715,84050,"pink heart shape egg frying pan"
2681,21985,"pack of 12 hearts design tissues"
2676,20679,"edwardian parasol red"
